año,NCODI,due_cTotal,matronas_cTotal,oDueEspeciali_cTotal,fisioterapeutas_cTotal,terapeutas_cTotal,logopedas_cTotal,oSaniMedio_cTotal,gMedioSani_cTotal,gSuperiorSani_cTotal,tecSani_cTotal,restSani_cTotal2,due_cMujeres,matronas_cMujeres,oDueEspeciali_cMujeres,fisioterapeutas_cMujeres,terapeutas_cMujeres,logopedas_cMujeres,oSaniMedio_cMujeres,gMedioSani_cMujeres,gSuperiorSani_cMujeres,tecSani_cMujeres,restSani_cMujeres2,due_pTotal,matronas_pTotal,oDueEspeciali_pTotal,fisioterapeutas_pTotal,terapeutas_pTotal,logopedas_pTotal,oSaniMedio_pTotal,gMedioSani_pTotal,gSuperiorSani_pTotal,tecSani_pTotal,restSani_pTotal2,due_pMujeres,matronas_pMujeres,oDueEspeciali_pMujeres,fisioterapeutas_pMujeres,terapeutas_pMujeres,logopedas_pMujeres,oSaniMedio_pMujeres,gMedioSani_pMujeres,gSuperiorSani_pMujeres,tecSani_pMujeres,restSani_pMujeres2,due_colabTotal,matronas_colabTotal,oDueEspeciali_colabTotal,fisioterapeutas_colabTotal,terapeutas_colabTotal,logopedas_colabTotal,oSaniMedio_colabTotal,gMedioSani_colabTotal,gSuperiorSani_colabTotal,tecSani_colabTotal,restSani_colabTotal2,due_colabMujeres,matronas_colabMujeres,oDueEspeciali_colabMujeres,fisioterapeutas_colabMujeres,terapeutas_colabMujeres,logopedas_colabMujeres,oSaniMedio_colabMujeres,gMedioSani_colabMujeres,gSuperiorSani_colabMujeres,tecSani_colabMujeres,restSani_colabMujeres2,direccion_cTotal,trabSocial_cTotal,perOficio_cTotal,administrativos_cTotal,oNoSani_cTotal,direccion_cMujeres,trabSocial_cMujeres,perOficio_cMujeres,administrativos_cMujeres,oNoSani_cMujeres,direccion_pTotal,trabSocial_pTotal,perOficio_pTotal,administrativos_pTotal,oNoSani_pTotal,direccion_pMujeres,trabSocial_pMujeres,perOficio_pMujeres,administrativos_pMujeres,oNoSani_pMujeres,direccion_colabTotal,trabSocial_colabTotal,perOficio_colabTotal,administrativos_colabTotal,oNoSani_colabTotal,direccion_colabMujeres,trabSocial_colabMujeres,perOficio_colabMujeres,administrativos_colabMujeres,oNoSani_colabMujeres
2019,113,68,0,22,0,1,0,0,157,0,157,0,65,0,18,0,1,0,0,141,0,141,0,15,0,2,0,1,0,0,29,0,29,0,13,0,1,0,1,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,79,27,19,4,5,57,22,17,0,0,18,4,6,0,0,16,4,3,0,0,0,0,0,0,0,0,0,0
2019,619,59,0,0,9,0,0,0,40,12,52,0,46,0,0,5,0,0,0,24,9,33,0,5,0,0,1,0,0,0,6,1,7,0,5,0,0,1,0,0,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,33,24,4,0,0,28,17,0,0,1,4,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0
2019,163,14,0,0,0,0,0,0,14,3,17,0,12,0,0,0,0,0,0,12,3,15,0,5,0,0,0,0,0,0,3,1,4,0,4,0,0,0,0,0,0,2,1,3,0,3,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,1,0,7,0,0,14,2,4,0,0,12,1,4,0,0,8,0,4,0,0,8,0,0,0,0,1,0,0,0,0,1,0
2019,131,6,0,0,1,0,0,0,32,0,32,0,6,0,0,1,0,0,0,26,0,26,0,2,0,0,0,0,0,0,5,0,5,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1,0,6,1,0,0,0,13,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0
2019,375,38,0,0,4,0,0,0,42,4,46,0,35,0,0,4,0,0,0,38,3,41,0,14,0,0,5,0,0,0,5,1,6,0,13,0,0,4,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37,11,16,0,0,30,9,9,0,0,6,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2019,1090,1040,22,8,58,4,0,8,727,225,952,0,934,21,7,47,3,0,7,680,185,865,0,378,12,4,30,2,0,1,195,37,232,0,360,12,4,29,2,0,0,186,32,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9,294,406,387,22,9,177,345,255,1,1,46,33,29,1,1,36,32,20,0,0,0,0,0,0,0,0,0,0
2019,764,888,22,0,34,9,2,3,631,163,794,0,783,20,0,25,9,2,3,578,138,716,0,165,4,0,2,0,0,0,33,16,49,0,158,4,0,2,0,0,0,33,16,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,12,122,279,300,17,11,21,194,157,1,0,0,16,2,1,0,0,16,1,0,0,0,0,0,0,0,0,0,0
2019,14,25,0,0,0,0,0,0,19,1,20,0,24,0,0,0,0,0,0,14,0,14,0,18,0,0,0,0,0,0,5,0,5,0,17,0,0,0,0,0,0,3,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,4,8,0,1,0,4,8,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2019,657,125,7,0,8,0,0,0,106,30,136,0,106,5,0,6,0,0,0,105,26,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,13,50,49,3,2,0,35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,362,47,0,0,2,0,0,0,23,13,36,13,36,0,0,2,0,0,0,21,10,31,6,5,0,0,2,0,0,0,4,4,8,0,3,0,0,0,0,0,0,4,4,8,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,21,11,1,0,0,14,1,0,0,0,14,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
