año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2019,113,160,0,0,0,0,150,0,0,0,0,0,0,0,27,0,0,0,0
2019,619,65,0,0,6,1,65,0,0,6,1,3,0,4,0,0,4,0,0
2019,163,20,0,0,4,0,20,0,0,4,0,5,0,0,0,0,0,9,4
2019,131,82,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2019,375,63,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0
2019,1090,791,23,3,23,2,726,21,3,22,2,10,6,86,4,0,60,0,2
2019,764,697,13,2,16,1,611,13,2,16,1,17,0,16,56,8,32,0,0
2019,14,42,3,2,3,0,40,3,2,3,0,1,0,5,0,0,3,1,3
2019,657,135,4,2,4,0,95,3,1,3,0,3,0,8,0,0,8,0,0
2019,362,65,2,1,3,1,65,0,1,3,1,7,0,0,0,0,8,0,0
2019,989,93,2,1,4,0,54,1,1,4,0,5,0,6,0,0,0,0,0
2019,990,114,1,1,4,0,99,1,1,4,0,2,0,13,0,0,0,8,0
2019,680,776,24,3,28,2,722,24,3,28,2,12,3,48,0,0,3,0,0
2019,411,106,4,1,9,2,106,4,1,9,2,2,0,6,0,0,0,0,0
2019,241,96,3,2,7,1,96,3,2,7,1,2,0,6,0,0,2,0,0
2019,558,287,4,3,9,0,226,4,3,9,0,10,0,23,0,0,5,12,2
2019,248,163,0,0,4,1,163,0,0,4,1,2,0,10,0,0,0,0,0
2019,224,30,1,1,2,0,23,1,1,2,0,1,1,0,0,0,2,2,1
2019,591,408,15,2,18,1,384,15,2,18,1,10,0,63,2,0,0,0,4
2019,586,376,14,2,12,0,370,14,2,12,0,4,4,34,12,0,0,16,0
2019,453,172,0,0,0,0,107,0,0,0,0,2,0,1,0,0,0,0,0
2019,145,96,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2019,511,270,11,2,9,0,253,11,2,9,0,6,3,10,0,0,0,14,0
2019,530,336,8,2,9,0,318,8,2,9,0,6,3,25,0,0,0,2,2
2019,6,66,3,1,8,0,55,3,1,8,0,1,0,0,0,0,5,0,0
2019,161,336,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0
2019,623,402,14,2,10,2,369,14,2,10,2,8,2,18,0,0,0,0,0
2019,349,19,0,0,1,0,19,0,0,1,0,1,0,0,0,0,0,0,0
2019,875,123,0,0,6,1,123,0,0,6,1,2,0,6,0,0,0,0,0
2019,946,140,3,1,4,1,140,3,1,4,1,3,0,0,0,0,0,0,0
2019,1023,277,6,2,11,1,229,6,2,11,1,3,0,38,0,0,29,0,0
2019,1054,267,12,2,15,1,211,6,2,13,1,6,1,20,0,0,0,24,2
2019,1057,107,0,0,0,0,80,0,0,0,0,4,0,0,0,0,0,0,0
2019,1031,40,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0
2019,1032,230,8,8,12,1,192,6,8,12,1,2,0,25,0,0,39,0,0
2019,1064,100,2,2,9,1,100,2,2,9,1,1,0,0,0,0,0,0,0
2019,226,82,2,1,5,1,82,2,1,5,1,2,1,0,0,0,5,0,5
2019,687,202,6,6,7,0,172,6,6,7,0,4,0,24,20,0,0,12,1
2019,745,718,44,3,16,2,718,44,3,16,2,9,4,78,94,0,29,0,0
2019,109,92,3,2,11,1,92,3,2,6,1,4,0,0,0,0,1,0,1
2019,808,309,11,8,9,0,291,8,8,8,0,5,0,20,22,0,0,17,0
2019,971,22,0,0,6,0,22,0,0,6,0,2,0,2,0,0,7,17,0
2019,128,33,1,1,3,0,33,0,0,3,0,1,0,3,0,0,2,2,1
2019,919,430,8,2,8,0,389,8,2,8,0,5,3,34,8,0,0,0,0
2019,1150,80,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2019,725,938,28,3,32,2,806,28,3,31,1,16,0,152,0,0,0,20,3
2019,3,113,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0
2019,306,281,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0
2019,15,29,0,0,3,0,20,0,0,2,0,1,0,3,0,0,3,0,0
2019,264,77,3,1,3,0,77,3,1,3,0,2,0,0,0,0,0,0,0
2019,867,9,0,0,2,0,9,0,0,2,0,1,0,0,0,0,0,0,0
2019,910,229,2,1,11,0,201,2,1,10,0,8,0,22,0,0,1,10,1
2019,1053,320,7,2,6,0,285,7,2,6,0,6,1,15,0,0,8,6,1
2019,1055,381,8,3,15,1,365,8,3,14,1,17,0,51,0,0,0,35,5
2019,1081,100,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
2019,1115,21,0,0,2,0,11,0,0,2,0,1,0,0,0,0,0,0,0
2019,529,70,0,0,0,0,65,0,0,0,0,1,0,0,0,27,0,0,0
2019,345,168,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0
2019,515,40,0,0,3,0,40,0,0,3,0,2,0,0,0,0,0,0,0
2019,174,73,0,0,3,0,61,0,0,3,0,0,0,0,0,0,0,0,0
2019,523,277,0,0,5,0,200,0,0,3,0,3,0,0,0,40,0,0,0
2019,697,193,9,3,6,1,193,9,3,6,1,5,0,1,1,1,1,1,1
2019,239,191,0,0,5,1,89,0,0,4,1,3,0,10,0,0,5,0,0
2019,287,291,4,3,11,1,291,4,3,11,1,6,0,1,0,16,0,0,0
2019,377,106,0,0,0,0,88,0,0,0,0,1,0,0,0,0,0,0,0
2019,692,245,8,5,8,0,263,8,5,8,0,3,0,26,15,0,0,0,0
2019,435,60,0,1,3,1,39,0,1,3,1,1,0,0,0,0,0,0,0
2019,423,41,3,1,2,0,36,2,1,2,0,2,0,1,0,0,2,3,2
2019,351,85,0,0,3,0,58,0,0,3,0,2,0,0,0,0,3,2,1
2019,810,15,0,1,1,0,10,0,1,1,0,1,0,0,0,0,1,1,0
2019,830,224,6,2,8,0,224,6,2,8,0,3,0,7,1,0,10,0,2
2019,892,417,19,6,13,0,362,9,6,13,0,5,0,30,24,0,0,31,13
2019,921,169,4,4,9,1,169,4,4,9,1,2,0,1,0,0,6,6,0
2019,991,13,1,1,1,0,13,1,1,1,0,1,0,3,0,0,0,0,0
2019,992,163,6,1,6,0,159,2,1,6,0,4,0,7,15,0,0,12,1
2019,993,142,5,3,5,0,114,5,3,5,0,2,1,29,13,0,0,6,1
2019,1070,839,30,6,27,3,757,30,6,25,3,10,0,43,40,0,0,0,7
2019,1095,70,0,0,2,0,38,0,0,2,0,1,0,0,0,0,0,0,0
2019,1094,34,0,0,4,0,22,0,0,4,0,1,0,0,0,0,0,4,4
2019,1124,15,0,0,3,0,15,0,0,3,0,1,0,0,0,0,5,10,3
2019,473,63,31,7,6,0,63,31,7,6,0,1,0,1,0,0,0,0,4
2019,663,425,9,2,11,1,403,9,2,11,1,4,2,53,13,0,7,0,0
2019,552,188,0,0,6,0,100,0,0,6,0,4,0,16,0,0,14,0,0
2019,772,665,0,0,26,2,665,0,0,26,2,8,0,70,56,50,0,0,6
2019,568,63,0,0,4,0,51,0,0,4,0,2,0,0,0,0,0,0,0
2019,398,123,0,0,5,0,100,0,0,5,0,2,0,0,0,0,0,0,0
2019,394,55,0,0,2,0,55,0,0,2,0,2,0,0,0,0,0,0,0
2019,614,22,0,0,2,0,22,0,0,2,0,0,0,0,0,0,0,7,0
2019,235,32,0,0,4,0,24,0,0,3,0,1,0,0,0,0,0,0,0
2019,616,90,0,0,6,0,53,0,0,6,0,3,0,19,0,0,0,15,0
2019,267,140,4,2,10,1,140,4,2,10,1,3,0,1,0,0,0,6,1
2019,565,168,0,0,5,0,168,0,0,5,0,1,0,14,15,0,0,22,0
2019,220,105,3,3,9,0,94,3,3,9,0,3,0,16,0,0,0,0,0
2019,278,154,6,3,8,0,154,6,3,8,0,0,0,0,0,0,0,0,0
2019,107,112,0,0,0,0,112,0,0,0,0,0,0,0,15,55,0,0,0
2019,711,623,17,3,25,3,562,17,3,25,3,8,0,93,42,0,25,0,0
2019,204,116,0,0,0,0,116,0,0,0,0,1,0,0,0,22,0,0,0
2019,579,31,0,0,2,0,31,0,0,2,0,4,0,0,0,0,0,0,0
2019,348,152,0,0,2,0,133,0,0,2,0,1,0,70,0,0,0,0,0
2019,766,116,0,0,8,0,110,0,0,8,0,5,0,8,0,0,0,0,0
2019,761,342,0,0,0,0,342,0,0,0,0,0,0,0,25,60,0,0,0
2019,728,334,0,0,22,0,286,0,0,22,0,6,0,11,24,0,0,17,4
2019,280,152,12,4,11,1,152,12,4,10,1,5,0,13,0,0,0,16,3
2019,222,44,0,0,6,0,44,0,0,6,0,0,0,1,0,0,0,0,0
2019,276,202,10,3,14,1,202,10,3,14,1,2,0,16,0,0,17,0,0
2019,11,197,0,0,13,1,197,0,0,12,1,4,0,10,0,0,0,0,0
2019,302,30,2,1,3,0,30,2,1,3,0,0,0,0,0,0,1,1,1
2019,682,161,0,0,8,0,161,0,0,8,0,1,0,11,0,0,0,0,0
2019,279,181,20,5,14,1,181,20,5,14,1,4,0,10,0,0,0,10,4
2019,282,265,11,3,22,3,265,11,3,22,3,8,0,11,0,0,0,31,4
2019,281,270,8,5,10,1,270,8,4,10,1,3,0,10,0,0,0,15,0
2019,183,30,0,0,3,0,30,0,0,3,0,1,0,6,0,0,0,0,0
2019,610,39,0,0,5,0,25,0,0,5,0,0,0,0,0,0,19,0,0
2019,116,427,0,0,0,0,395,0,0,0,0,0,0,0,0,20,0,0,0
2019,115,50,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0
2019,114,74,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
2019,119,30,0,0,4,0,30,0,0,4,0,1,0,0,0,0,0,0,0
2019,770,594,13,3,24,2,594,13,3,24,2,17,0,31,18,0,0,14,4
2019,583,130,0,0,4,0,116,0,0,4,0,4,0,23,0,0,0,0,4
2019,136,209,0,0,0,0,209,0,0,0,0,1,0,0,0,46,0,0,0
2019,469,108,2,1,3,1,101,2,1,3,1,2,0,12,0,15,9,9,0
2019,642,228,2,2,5,0,228,2,2,5,0,8,0,8,0,20,0,14,0
2019,674,358,37,6,16,1,344,37,6,16,1,10,1,24,74,0,0,26,5
2019,193,149,0,0,0,0,149,0,0,0,0,1,0,0,0,17,0,0,0
2019,526,328,12,3,9,0,328,12,3,9,0,8,0,40,0,70,0,10,0
2019,698,759,0,0,33,2,648,0,0,33,2,10,0,41,10,0,0,24,7
2019,630,81,3,2,10,0,68,3,2,10,0,4,0,8,0,0,0,11,0
2019,124,140,0,0,0,0,130,0,0,0,0,0,0,0,0,30,0,0,0
