,nombre_zapatillas,precio_min,precio_max,diferencia,fecha_recoleccion
0,Adidas Originales BERN GTX Gore-Tex Max Morlock Hombres Informales Estilo de Vida Zapatos IF3800,166.27,166.27,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
1,Adidas Zapatos de Fútbol F50 LEAGUE TF Core Negro/Hierro Metálico/Dorado Metálico IF1337,123.19,123.19,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
2,Adidas Terrex Tracerocker 2 GORE-TEX Hombre Negro Zapatos Trekking GZ8910,126.97,126.97,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
3,adidas Originals BERN GTX Gore-Tex Max Morlock Men Casual LifeStyle Shoes IF3800,150.99,150.99,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
4,Adidas Adizero Ubersonic 4.1 Cristal Blanco Semi Flash Aqua IF0445 Hombres Talla,163.58,163.58,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
5,Zapatillas de cuero unisex Adidas Originals Superstar 82 GZ4837 blancas beige talla a elegir,100.0,100.0,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
6,Zapatillas para hombre adidas Originals Forum 84 Low x M&M NUEVAS,100.0,100.0,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
7,Adidas Attitude Ivory Team College Borgoña IF6280 Hombres Talla,174.14,174.14,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
8,Adidas PRIMEKNIT Hombres 12 ULTRABOOST 22 ZAPATILLAS PARA CORRER Linear Energy Negro HQ0965,160.74,160.74,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
9,Adidas Originales Tobacco Night Indigo JR2743,141.46,206.5,65.03999999999999,<built-in method now of type object at 0x00007FFAF86A12B0>
10,Adidas Originales SL 72 RS Bob Marley One Love JR7973,187.27,277.05,89.78,<built-in method now of type object at 0x00007FFAF86A12B0>
11,Zapatillas hombre adidas NMD V3 Gore-Tex GTX impermeables (HP7778) NUEVAS,100.0,100.0,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
12,[EF4366] Adidas ZX 8000 para hombre,111.94,111.94,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
13,adidas Originals BERN GTX Gore-Tex Max Morlock Men Casual LifeStyle Shoes IF3800,170.75,170.75,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
14,Adidas Harden Volumen 7 Núcleo Negro Blanco Zapatos Atléticos Para Hombre Talla 9.5-15 (HP3021),178.64,242.78,64.14000000000001,<built-in method now of type object at 0x00007FFAF86A12B0>
15,Scarpe adidas originals superstar uomo donna bambino cod509fi cod594fi,59.99,100.0,40.01,<built-in method now of type object at 0x00007FFAF86A12B0>
16,Adidas Originals Adistar Amortiguador Zapatos en Blanco y Claro Azul,175.68,175.68,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
17,Adidas Originals Gazelle Zapatillas En Verde y Negro Talla UK 13,167.22,167.22,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
18,IG4552 Adidas Originals New York Grey (para hombre),149.85,254.02,104.17000000000002,<built-in method now of type object at 0x00007FFAF86A12B0>
19,Adidas Yeezy Foam Runner Onyx HP8739 2024 US Men Size 11 12 13 NEW YZY RNNR,120.6,120.6,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
20,Botines de fútbol Adidas Predator Edge.1 Low SG blancos solares amarillos GW1014 talla 10,121.93,121.93,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
21,IE7564 Homer Simpson × Adidas Originales Stan Smith Verde,137.98,377.38,239.4,<built-in method now of type object at 0x00007FFAF86A12B0>
22,Adidas Originales TOBACCO JR2743 Noche Indigo Tenis Zapatos Gamuza Premium,165.17,165.17,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
