año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2016,113,0,0,0,0,0
2016,619,17378,1076,24,0,18478
2016,163,4226,97,8,0,4331
2016,131,0,0,0,0,0
2016,375,366,0,98,0,464
2016,1090,145846,20921,1983,41,168791
2016,764,134451,17019,583,114,152167
2016,14,20023,574,491,2,21090
2016,657,32056,3376,369,0,35801
2016,362,20549,1233,210,1,21993
2016,989,23315,2463,463,23,26264
2016,990,30420,3580,607,23,34630
2016,680,126367,31634,1841,77,159919
2016,411,40595,2566,64,9,43234
2016,241,30026,2352,22,1,32401
2016,558,40108,7782,311,46,48247
2016,167,3355,58,103,0,3516
2016,248,10614,2816,176,1,13607
2016,224,22573,1023,42,2,23640
2016,591,71520,11860,595,77,84052
2016,586,76447,13636,1140,80,91303
2016,453,924,47,36,0,1007
2016,145,0,0,0,0,0
2016,511,68152,11868,678,73,80771
2016,530,61332,12001,415,50,73798
2016,6,25817,1125,20,0,26962
2016,161,0,0,0,0,0
2016,623,76313,12448,670,66,89497
2016,875,29240,3325,25,0,32590
2016,946,31968,5904,152,6,38030
2016,1023,66977,12534,201,99,79811
2016,1054,47808,8826,275,77,56986
2016,1057,0,0,0,0,0
2016,1031,0,0,0,0,0
2016,1032,79218,9602,262,54,89136
2016,1064,34040,2455,239,1,36735
2016,226,41783,2213,57,0,44053
2016,687,55378,5744,731,94,61947
2016,745,139347,16097,997,95,156536
2016,109,37305,3011,20,0,40336
2016,808,127638,10600,999,98,139335
2016,971,67930,495,2698,8,71131
2016,128,10407,530,0,0,10937
2016,919,32831,9820,300,47,42998
2016,725,129562,19658,0,61,149281
2016,3,0,0,0,0,0
2016,306,0,0,0,0,0
2016,15,7784,6,6,0,7796
2016,264,31455,2311,103,3,33872
2016,867,6703,0,0,0,6703
2016,910,34589,6441,630,57,41717
2016,1053,54901,10321,993,86,66301
2016,1055,63835,11485,1501,82,76903
2016,1081,0,0,0,0,0
2016,1099,2613,30,0,0,2643
2016,529,0,0,0,0,0
2016,345,0,0,0,0,0
2016,515,13643,581,0,0,14224
2016,174,0,0,0,0,0
2016,523,0,0,0,0,0
2016,697,82514,7596,366,5,90481
2016,239,37346,5079,230,2,42657
2016,287,58083,5585,91,178,63937
2016,377,0,0,0,0,0
2016,692,49096,6969,96,41,56202
2016,335,0,0,0,0,0
2016,435,23352,1540,71,3,24966
2016,423,9529,1588,0,0,11117
2016,351,17679,3331,207,11,21228
2016,810,8446,1162,0,0,9608
2016,830,61335,9319,529,25,71208
2016,892,92052,12548,572,98,105270
2016,921,89336,7233,141,6,96716
2016,991,17692,329,184,4,18209
2016,992,54870,5851,568,86,61375
2016,993,21134,3959,67,14,25174
2016,1070,127615,17730,730,123,146198
2016,1095,16726,1776,239,4,18745
2016,1094,5572,839,30,0,6441
2016,473,29851,3843,41,0,33735
2016,663,107019,11528,4996,219,123762
2016,552,5258,18,275,0,5551
2016,772,81840,14618,4455,398,101311
2016,568,5853,309,0,0,6162
2016,398,7441,1122,9,0,8572
2016,394,6080,392,10,0,6482
2016,614,0,0,0,0,0
2016,235,2535,37,0,0,2572
2016,616,44882,1107,1866,7,47862
2016,267,18884,2676,849,2,22411
2016,565,0,0,0,0,0
2016,220,21150,1588,34,1,22773
2016,278,16578,2100,32,1,18711
2016,107,0,0,0,0,0
2016,711,121838,22159,7427,61,151485
2016,204,94,0,0,0,94
2016,579,94321,1040,27,1,95389
2016,348,0,0,0,0,0
2016,766,15138,1215,226,0,16579
2016,761,0,0,0,0,0
2016,728,37519,7177,269,16,44981
2016,280,43592,3515,147,2,47256
2016,222,1294,94,0,0,1388
2016,276,77541,3879,593,1,82014
2016,11,14019,3222,36,9,17286
2016,302,29660,343,74,2,30079
2016,682,16541,1689,192,12,18434
2016,279,85408,5308,387,2,91105
2016,282,84594,6408,73,0,91075
2016,281,44259,7021,88,46,51414
2016,183,1292,17,0,0,1309
2016,610,14289,43,0,0,14332
2016,116,0,0,0,0,0
2016,115,0,0,0,0,0
2016,114,0,0,0,0,0
2016,119,34,14,0,0,48
2016,770,101057,12873,1515,121,115566
2016,583,51993,2693,579,16,55281
2016,136,0,0,0,0,0
2016,469,27738,2354,161,8,30261
2016,642,44320,6932,920,103,52275
2016,674,133494,10242,129,1,143866
2016,193,0,0,0,0,0
2016,526,101887,10808,492,41,113228
2016,698,87200,13785,6813,260,108058
2016,630,53046,3890,780,19,57735
2016,124,0,0,0,0,0
2016,364,0,0,0,0,0
2016,439,33683,1438,350,0,35471
2016,570,95178,13014,2938,28,111158
2016,123,0,0,0,0,0
2016,310,1921,1115,0,0,3036
2016,571,49491,4752,1020,52,55315
2016,296,4727,0,0,0,4727
2016,566,74016,4794,464,72,79346
2016,784,121813,14140,3658,326,139937
2016,102,0,0,0,0,0
2016,379,0,0,0,0,0
2016,639,80311,7145,2378,20,89854
2016,457,26256,1513,280,13,28062
2016,609,115095,9392,146,4,124637
2016,101,0,0,0,0,0
2016,454,48988,6327,872,33,56220
2016,318,2836,1031,120,0,3987
2016,600,56310,6419,705,3,63437
2016,545,110225,7445,599,148,118417
2016,100,0,0,0,0,0
2016,702,111864,9196,1652,146,122858
2016,778,49901,9507,693,26,60127
2016,341,5870,213,10,0,6093
2016,99,0,0,0,0,0
2016,767,38744,5701,1292,39,45776
2016,359,43679,59,1305,2,45045
2016,98,0,0,0,0,0
2016,132,0,0,0,0,0
2016,97,0,0,0,0,0
2016,103,0,0,0,0,0
2016,110,0,0,0,0,0
2016,94,0,0,0,0,0
2016,91,0,0,0,0,0
2016,664,100042,11239,1000,102,112383
2016,918,175318,30359,3625,280,209582
2016,92,0,0,0,0,0
2016,95,0,0,0,0,0
2016,301,17485,0,42,0,17527
2016,492,46586,3760,981,22,51349
2016,811,10724,1249,12,5,11990
2016,812,0,0,0,0,0
2016,832,0,0,0,0,0
2016,841,0,0,0,0,0
2016,856,0,0,0,0,0
2016,859,0,0,0,0,0
2016,861,0,0,0,0,0
2016,880,0,0,0,0,0
2016,883,0,0,0,0,0
2016,884,0,0,0,0,0
2016,877,0,0,0,0,0
2016,911,0,0,0,0,0
2016,913,1873,319,95,0,2287
2016,922,39980,2387,0,3,42370
2016,923,0,0,0,0,0
2016,924,0,0,0,0,0
2016,947,0,0,0,0,0
2016,951,0,0,0,0,0
2016,1103,0,0,0,0,0
2016,972,0,0,0,0,0
2016,973,11253,62,4,0,11319
2016,974,0,0,0,0,0
2016,975,0,0,0,0,0
2016,960,0,0,0,0,0
2016,1028,0,0,0,0,0
2016,976,0,0,0,0,0
2016,977,0,0,0,0,0
2016,1020,0,0,0,0,0
2016,994,55596,6669,737,15,63017
