año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2016,1057,106,0,0,0,0,76,0,0,0,0,4,0,0,0,0,0,0,0
2016,1031,40,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
2016,1032,230,8,8,12,1,196,8,8,12,1,4,0,25,0,0,31,0,0
2016,1064,100,2,2,9,1,100,2,2,9,1,1,0,0,0,0,0,0,0
2016,226,82,2,1,5,1,82,2,1,5,1,2,0,0,0,0,5,0,5
2016,687,197,8,2,7,0,163,6,2,7,0,7,0,12,20,0,0,12,1
2016,745,747,34,3,16,2,738,34,3,16,2,22,10,71,42,0,0,22,2
2016,109,86,3,2,11,1,64,3,2,6,1,4,0,0,0,0,0,0,0
2016,808,309,8,8,9,0,282,6,8,9,0,5,0,6,22,0,16,0,0
2016,971,11,0,0,6,0,5,0,0,2,0,2,0,2,0,0,12,0,0
2016,128,33,1,1,3,0,33,0,0,3,0,1,0,3,0,0,2,2,1
2016,919,430,8,2,8,0,380,8,2,8,0,5,3,24,8,0,0,0,0
2016,725,913,28,3,32,2,815,28,3,32,2,16,0,91,0,0,0,20,3
2016,3,101,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
2016,306,281,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0
2016,15,29,0,0,3,0,17,0,0,2,0,1,0,1,0,0,0,0,0
2016,264,77,3,0,4,0,77,3,1,4,0,2,0,0,0,0,0,0,0
2016,867,9,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0
2016,910,227,2,1,11,0,185,2,1,11,0,8,0,16,0,0,1,10,1
2016,1053,327,7,2,8,0,293,7,2,8,0,6,1,10,0,0,0,14,3
2016,1055,381,8,3,15,1,372,8,3,14,1,18,0,30,0,0,0,39,6
2016,1081,100,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
2016,1099,20,0,2,5,0,20,0,0,3,0,1,0,1,0,0,0,0,0
2016,529,100,0,0,0,0,95,0,0,0,0,1,0,0,0,0,0,0,0
2016,345,170,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
2016,515,40,0,0,3,0,40,0,0,3,0,2,0,0,0,0,0,0,0
2016,174,65,0,0,3,0,49,0,0,2,0,0,0,0,0,0,0,0,3
2016,523,184,0,0,3,0,184,0,0,3,0,2,0,0,0,25,5,0,0
2016,697,193,9,3,6,1,193,9,3,6,1,5,0,1,1,1,1,1,1
2016,239,196,0,0,5,1,82,0,0,4,1,3,0,10,0,0,5,0,0
2016,287,287,4,3,11,1,197,3,3,11,1,6,0,0,0,16,0,0,0
2016,377,106,0,0,0,0,85,0,0,0,0,1,0,0,0,0,0,0,0
2016,113,205,0,0,0,0,203,0,0,0,0,0,0,0,1,0,0,0,0
2016,619,75,1,2,6,1,75,1,2,6,1,3,0,4,0,0,4,0,1
2016,163,20,0,0,4,0,20,0,0,4,0,5,0,0,0,0,0,9,4
2016,131,82,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2016,375,63,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0
2016,1090,811,23,3,23,2,725,21,3,22,2,10,6,86,4,0,60,0,2
2016,764,736,13,2,16,1,639,13,2,16,1,17,0,16,56,8,32,0,0
2016,14,42,3,1,3,0,42,3,1,3,0,1,0,1,0,0,0,0,0
2016,657,135,3,1,5,0,93,1,1,4,0,3,0,1,0,0,1,0,0
2016,362,65,2,1,3,1,65,2,1,3,1,7,0,0,0,0,8,0,0
2016,989,93,2,1,4,0,57,1,1,4,0,5,0,6,0,0,0,0,0
2016,990,114,1,1,4,0,89,1,1,4,0,2,0,13,0,0,0,8,0
2016,680,797,24,3,28,2,715,24,3,27,2,12,3,36,0,0,3,0,0
2016,411,106,4,1,9,2,106,4,1,9,2,3,0,6,0,0,0,0,0
2016,241,96,3,2,7,1,96,3,2,7,1,2,0,6,0,0,2,0,0
2016,558,287,4,3,7,0,226,4,3,7,0,9,1,20,0,0,1,11,1
2016,167,26,2,1,2,0,16,1,1,2,0,1,0,0,0,0,0,0,0
2016,248,175,1,0,4,1,163,0,0,4,1,2,0,10,0,0,0,0,0
2016,224,23,1,1,2,0,23,1,1,2,0,2,0,0,0,0,0,0,1
2016,591,410,15,2,15,1,393,15,2,15,1,10,0,57,2,0,0,,4
2016,586,367,14,2,12,0,367,14,2,12,0,4,4,29,12,0,0,0,0
2016,453,179,0,0,0,0,110,0,0,0,0,1,0,1,0,0,0,0,0
2016,145,96,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
2016,511,270,11,2,9,0,270,11,2,9,0,6,3,10,0,0,0,14,0
2016,530,336,8,2,9,0,323,8,2,9,0,6,3,25,0,0,0,2,2
2016,6,66,3,1,8,0,55,3,1,8,0,1,0,0,0,0,10,0,0
2016,161,432,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0
2016,623,390,14,2,10,2,361,14,2,10,2,8,2,18,0,0,0,0,0
2016,875,109,0,0,7,1,84,0,0,7,1,2,0,6,0,0,2,0,0
2016,946,140,3,1,4,1,140,3,1,4,1,3,0,0,0,0,0,0,0
2016,1023,277,6,5,11,1,238,6,5,11,1,3,0,38,0,0,29,0,0
2016,1054,267,12,2,15,1,211,6,2,13,1,6,0,16,0,0,0,24,2
2016,692,271,10,5,8,0,262,9,5,8,0,3,0,28,25,0,0,0,0
2016,335,160,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0
2016,435,70,1,1,4,1,70,1,1,4,1,2,0,0,0,0,0,0,0
2016,423,31,3,1,2,0,31,3,1,2,0,2,0,,0,0,2,3,2
2016,351,85,0,0,3,0,52,0,0,3,0,2,0,3,0,0,3,2,1
2016,810,9,0,1,1,0,9,0,1,1,0,1,0,0,0,0,1,1,1
2016,830,224,6,2,8,0,224,6,2,8,0,3,0,7,0,0,10,0,2
2016,892,419,19,6,13,0,366,10,6,12,0,5,0,30,24,0,0,31,0
2016,921,170,4,4,9,1,170,4,4,9,1,2,0,1,0,0,6,6,0
2016,991,12,1,1,1,0,12,1,1,1,0,1,0,0,0,0,0,0,0
2016,992,165,6,1,6,0,165,2,1,6,0,4,0,7,15,0,8,12,1
2016,993,142,5,3,5,0,110,5,3,5,0,2,1,29,16,0,0,6,1
2016,1070,824,30,6,27,3,735,30,6,25,3,8,0,31,40,0,0,20,4
2016,1095,70,0,0,2,0,38,0,0,2,0,1,0,0,0,0,0,0,0
2016,1094,34,0,0,4,0,34,0,0,4,0,1,0,1,0,0,0,4,4
2016,473,64,27,7,6,0,64,27,7,6,0,2,0,1,0,0,0,0,4
2016,663,406,9,2,11,1,393,9,2,11,1,4,2,53,13,0,7,0,0
2016,552,90,0,0,6,0,79,0,0,6,0,4,0,16,0,0,14,0,0
2016,772,628,0,0,25,2,628,0,0,25,2,8,0,70,56,50,0,0,6
2016,568,62,0,0,4,0,62,0,0,4,0,2,0,0,0,0,0,6,0
2016,398,132,0,0,5,0,100,0,0,5,0,2,0,0,0,0,0,0,0
2016,394,55,0,0,2,0,55,0,0,2,0,2,0,0,0,0,0,0,0
2016,614,22,0,0,2,0,22,0,0,2,0,0,0,0,0,0,0,7,0
2016,235,33,0,0,4,0,14,0,0,3,0,2,0,0,0,0,0,0,0
2016,616,90,0,0,6,0,57,0,0,6,0,0,0,20,0,0,0,15,0
2016,267,181,4,2,9,1,163,4,2,9,1,2,0,4,0,0,0,0,0
2016,565,200,0,0,5,0,178,0,0,5,0,1,0,8,0,0,0,22,0
2016,220,138,3,3,9,0,138,3,3,9,0,3,0,17,0,0,0,0,0
2016,278,154,6,3,8,0,154,6,3,8,0,0,0,0,0,0,0,0,0
2016,107,112,0,0,0,0,112,0,0,0,0,0,0,0,15,55,0,0,0
2016,711,623,17,3,22,3,549,17,3,22,3,7,0,93,42,0,22,0,0
2016,204,116,0,0,0,0,116,0,0,0,0,1,0,0,0,22,0,0,0
2016,579,31,0,0,2,0,31,0,0,2,0,4,0,0,0,0,0,0,0
2016,348,152,0,0,2,0,139,0,0,2,0,1,0,70,0,0,0,0,0
2016,766,116,0,0,8,0,111,0,0,8,0,5,0,8,0,0,0,0,0
2016,761,317,0,0,0,0,317,0,0,0,0,0,0,0,25,60,0,0,0
2016,728,336,0,0,19,0,291,0,0,19,0,7,0,11,0,0,0,17,4
2016,280,144,12,4,10,1,144,12,4,10,1,5,0,10,0,0,0,12,3
2016,222,44,0,0,6,0,44,0,0,6,0,2,0,1,0,0,0,0,0
2016,276,202,10,3,14,1,202,10,3,14,1,8,0,16,0,0,18,0,0
2016,11,201,0,2,8,1,170,0,2,8,1,4,0,9,0,0,0,2,0
