año,NCODI,totHemodina_Paciente,totPaciente_radioInterv,totLitofrag_Paciente,totLitofrag_Sesion,totAceleLineal_Paciente,totAceleLineal_Sesion,totBomCobal_Paciente,totBomCobal_Sesion,totOtraRadio_Paciente,totOtraRadio_Sesion,totFisiot_Paciente,totFisiot_Sesion,totLogop_Paciente,totLogop_Sesion,totTerapOcupa_Paciente,totTerapOcupa_Sesion,totHemodial_Paciente,totHemodial_Sesion,totHemodialDom_Paciente,totHemodialDom_Sesion,totDialPerito_Paciente,totDialPerito_Sesion
2016,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,3402,0,0,0,0,0,0
2016,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,131,0,0,0,0,0,0,0,0,0,0,54,540,0,0,0,0,0,0,0,0,0,0
2016,375,0,0,0,0,0,0,0,0,0,0,1195,15272,0,0,0,0,0,0,0,0,0,0
2016,1090,816,2453,363,489,799,13962,0,0,0,0,15658,328816,0,0,0,0,181,16247,0,0,0,0
2016,764,1669,2090,390,500,832,17606,0,0,59,221,10763,91758,2642,5746,2094,16231,86,12830,1,209,50,16449
2016,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,657,0,405,0,0,0,0,0,0,0,0,3083,26530,0,0,0,0,0,0,0,0,0,0
2016,362,55,13,0,0,0,0,0,0,0,0,1762,15858,0,0,0,0,0,0,0,0,0,0
2016,989,0,0,0,0,0,0,0,0,0,0,2547,18637,485,2005,120,1655,0,0,0,0,0,0
2016,990,0,0,0,0,0,0,0,0,0,0,2324,19925,475,1205,278,2684,0,0,0,0,0,0
2016,680,2531,4480,193,330,0,0,0,0,0,0,5741,263102,0,0,0,0,668,14052,0,0,31,11193
2016,411,11060,447,0,0,0,0,0,0,0,0,1069,21749,0,0,0,0,77,11631,0,0,0,0
2016,241,187,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,26891,0,0,0,0
2016,558,0,2021,0,0,0,0,0,0,0,0,1444,26006,0,0,0,0,76,12696,0,0,12,4380
2016,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
