año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2020,478,0,1901063,0,1901063,0,1901063
2020,352,0,221438,0,221438,0,221438
2020,628,0,2704401,0,2704401,0,2704401
2020,495,0,1284551,0,1284551,0,1284551
2020,845,0,2306090,0,2306090,0,2306090
2020,498,0,1803582,0,1803582,0,1803582
2020,314,0,698174,0,698174,0,698174
2020,720,0,983237,0,983237,0,983237
2020,721,0,3083619,0,3083619,0,3083619
2020,485,0,0,0,0,0,0
2020,273,2997,1026153,0,1026153,0,1029150
2020,846,1736,2857010,0,2857010,0,2858746
2020,847,302578,3207680,0,3207680,0,3510258
2020,848,0,2155069,0,2155069,0,2155069
2020,916,12766,811120,0,811120,0,823886
2020,930,,1187767,0,1187767,0,1187767
2020,954,43992,4744344,0,4744344,0,4788336
2020,943,0,519936,0,519936,0,519936
2020,949,0,26404000,222660,26181340,0,26404000
2020,980,15016,2453306,0,2453306,0,2468322
2020,981,0,66054,50164,15890,0,66054
2020,1024,0,6256539,0,6256539,0,6256539
2020,1017,242,30781,0,30781,0,31023
2020,1000,0,2255151,0,2255151,0,2255151
2020,1018,0,3986000,0,3986000,0,3986000
2020,1001,,1160942,0,1160942,0,1160942
2020,1007,0,1011636,0,1011636,0,1011636
2020,1008,0,1278841,0,1278841,0,1278841
2020,1010,0,0,0,0,0,0
2020,1011,0,436031,0,436031,0,436031
2020,1012,0,908330,0,908330,0,908330
2020,1013,0,2570659,0,2570659,0,2570659
2020,1041,0,0,0,0,80000,80000
2020,1073,891295,2345177,0,2345177,-99515,3136957
2020,1087,2237280,7413570,2729423,4684147,0,9650850
2020,1109,0,10323000,0,10323000,0,10323000
2020,1110,106796,2695084,,2695084,0,2801880
2020,1112,0,626400,0,626400,0,626400
2020,1156,14681,287253,0,287253,5540,307474
2020,1155,0,8535,0,8535,0,8535
2020,1148,348834,1620150,525608,1094542,0,1968984
2020,1126,0,3599761,0,3599761,0,3599761
2020,1160,0,0,0,0,0,0
2020,1152,0,1020423,0,1020423,0,1020423
2020,789,0,1221624,0,1221624,0,1221624
2020,326,20306,676359,1291,675068,0,696665
2020,442,0,1412686,0,1412686,0,1412686
2020,294,0,566085,566085,0,0,566085
2020,378,9986,6035,0,6035,0,16021
2020,402,38500,45000,0,45000,0,83500
2020,29,0,66181,0,66181,0,66181
2020,450,8505,114971,0,114971,0,123476
2020,656,,2325353,0,2325353,,2325353
2020,333,17148,2065577,0,2065577,0,2082725
2020,684,,2975609,0,2975609,,2975609
2020,422,0,854305,0,854305,0,854305
2020,763,,16019448,0,16019448,,16019448
2020,741,,10609341,0,10609341,,10609341
2020,553,0,6845860,0,6845860,0,6845860
2020,899,0,62562,0,62562,0,62562
2020,900,44113,282558,0,282558,0,326671
2020,950,0,233256,0,233256,0,233256
2020,966,0,634675,634675,0,0,634675
2020,967,0,596070,0,596070,37872,633942
2020,982,0,0,0,0,512051,512051
2020,1080,975389,12557567,0,12557567,46802,13579758
2020,1074,0,95103,0,95103,0,95103
2020,1084,4157,128852,0,128852,0,133009
2020,1113,0,0,0,0,0,0
2020,1137,2402,76547,0,76547,0,78949
2020,1142,,1668077,0,1668077,,1668077
2020,722,36788,4256314,0,4256314,1248970,5542072
2020,660,0,3827569,0,3827569,0,3827569
2020,75,0,587313,0,587313,0,587313
2020,249,0,0,0,0,728197,728197
2020,227,1613,644151,0,644151,0,645764
2020,150,0,68811,0,68811,0,68811
2020,47,0,2878,0,2878,0,2878
2020,172,4065,184913,0,184913,0,188978
2020,581,0,129560,0,129560,0,129560
2020,120,0,0,0,0,0,0
2020,445,,45231,0,45231,0,45231
2020,471,21363,0,0,0,658873,680236
2020,53,0,0,0,0,0,0
2020,199,31427,338606,0,338606,0,370033
2020,575,15972,3677371,0,3677371,0,3693343
2020,528,0,1299630,0,1299630,15975,1315605
2020,631,0,4314552,0,4314552,0,4314552
2020,699,0,6643818,2421787,4222031,0,6643818
2020,823,0,1656287,0,1656287,1205431,2861718
2020,849,0,1250284,0,1250284,0,1250284
2020,869,0,358184,0,358184,0,358184
2020,955,0,0,0,0,0,0
2020,983,0,20314,0,20314,0,20314
2020,1002,0,95298,0,95298,0,95298
2020,1015,103133,6263618,0,6263618,0,6366751
2020,1153,192713,1217228,0,1217228,0,1409941
2020,51,0,0,0,0,0,0
2020,441,0,172578,0,172578,0,172578
2020,327,0,320298,0,320298,0,320298
2020,690,518255,1776183,0,1776183,0,2294438
2020,262,42655,623314,0,623314,0,665969
2020,403,0,0,0,0,0,0
2020,312,11971,440738,0,440738,0,452709
2020,589,0,2281333,0,2281333,0,2281333
2020,665,0,1415695,0,1415695,1022751,2438446
2020,334,22420,155240,0,155240,0,177660
2020,1075,0,0,0,0,12834336,12834336
2020,751,0,1256812,0,1256812,0,1256812
2020,186,25670,45819,0,45819,0,71489
2020,646,0,0,0,0,0,0
2020,536,0,0,0,0,0,0
2020,242,2844,360209,0,360209,0,363053
2020,490,0,14428,0,14428,0,14428
2020,500,22583,3969817,0,3969817,0,3992400
2020,206,56995,579534,0,579534,0,636529
2020,58,0,5012,0,5012,0,5012
2020,572,0,0,0,0,231469,231469
2020,180,258,325005,0,325005,165687,490950
2020,549,0,120500,0,120500,0,120500
2020,582,0,104515,0,104515,0,104515
2020,743,0,581966,0,581966,0,581966
2020,795,0,1121827,0,1121827,0,1121827
2020,269,215,5634,0,5634,0,5849
