año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2020,1083,0,0,0,0,0,0
2020,1096,0,0,0,0,0,0
2020,1159,0,0,0,0,0,0
2020,679,1027,6381,28,2688,1144,2981
2020,176,213,235,0,0,0,0
2020,537,92,171,0,0,0,0
2020,608,1223,6160,0,0,0,0
2020,596,689,3537,0,0,0,0
2020,749,8073,37072,1730,1730,0,0
2020,758,9125,46802,1183,16092,0,0
2020,1104,12736,37158,136,9315,121,432
2020,567,0,0,189,2842,0,0
2020,677,5257,13527,333,703,0,0
2020,670,2688,11997,1964,15917,0,0
2020,588,1647,3078,0,0,74,591
2020,753,11799,63227,38,2604,0,0
2020,887,0,0,23,1105,0,0
2020,245,0,0,0,0,0,0
2020,603,509,509,0,0,0,0
2020,426,0,0,0,0,0,0
2020,232,0,0,0,0,0,0
2020,288,287,4234,0,0,0,0
2020,246,135,135,0,0,0,0
2020,284,0,0,0,0,0,0
2020,18,0,0,0,0,0,0
2020,356,0,0,391,10359,0,0
2020,401,79,3581,0,0,0,0
2020,733,31738,67603,316,2119,0,0
2020,243,0,0,0,0,0,0
2020,380,384,3456,0,0,0,0
2020,716,1508,3359,0,0,0,0
2020,534,0,0,0,0,0,0
2020,185,0,0,0,0,0,0
2020,258,188,188,0,0,0,0
2020,505,0,0,0,0,0,0
2020,268,130,2326,0,0,0,0
2020,602,7904,7904,0,0,0,0
2020,254,590,693,0,0,0,0
2020,705,427,2762,0,0,0,0
2020,133,0,0,0,0,0,0
2020,33,0,0,44,2183,0,0
2020,143,0,0,102,793,0,0
2020,36,0,0,50,1949,0,0
2020,756,1652,6992,79,353,0,0
2020,662,8057,13060,490,4042,0,0
2020,192,0,0,0,0,0,0
2020,382,0,0,0,0,0,0
2020,322,0,0,0,0,0,0
2020,478,0,0,0,0,0,0
2020,352,0,0,0,0,0,0
2020,628,1334,10628,0,0,0,0
2020,495,0,0,0,0,0,0
2020,845,1240,7452,101,1692,0,0
2020,498,993,1252,0,0,0,0
2020,314,0,0,0,0,0,0
2020,720,1900,3880,0,0,0,0
2020,721,1415,16140,57,3079,263,612
2020,485,3156,3458,689,792,0,0
2020,273,1168,6191,0,0,0,0
2020,846,6390,15833,8,79,0,0
2020,847,0,0,0,0,0,0
2020,848,3286,5806,0,0,0,0
2020,916,1247,7159,0,0,0,0
2020,930,1900,2329,0,0,0,0
2020,954,6875,12388,0,0,0,0
2020,943,1285,1670,0,0,0,0
2020,949,14885,55081,200,7325,29,305
2020,980,450,3040,0,0,0,0
2020,981,86,98,0,0,0,0
2020,1024,2071,18827,0,0,0,0
2020,1017,16,1489,0,0,0,0
2020,1000,3533,10599,0,0,0,0
2020,1018,8423,17147,1036,2910,6,8
2020,1001,65,660,0,0,0,0
2020,1007,7363,20622,63,1943,0,0
2020,1008,13702,17808,0,0,5,6
2020,1010,5997,7438,0,0,0,0
2020,1011,2470,4514,0,0,0,0
2020,1012,1588,6550,0,0,0,0
2020,1013,15968,46893,73,3608,,0
2020,1041,0,0,0,0,0,0
2020,1073,770,3255,77,681,0,0
2020,1087,10456,24326,40,282,,
2020,1109,8942,17972,1254,3005,0,0
2020,1110,3075,9447,0,0,0,0
2020,1112,357,1189,0,0,0,0
2020,1156,0,0,0,0,0,0
2020,1155,0,0,0,0,0,0
2020,1148,821,4814,0,0,0,0
2020,1126,9511,24038,82,6656,0,0
2020,1160,440,15325,0,0,0,0
2020,1152,0,0,165,12642,0,0
2020,789,0,0,0,0,0,0
2020,326,0,0,17,315,0,0
2020,442,371,850,0,0,0,0
2020,294,434,2343,0,0,0,0
2020,378,18,72,0,0,0,0
2020,402,0,0,0,0,0,0
2020,29,0,0,0,0,0,0
2020,450,0,0,0,0,0,0
2020,656,467,3733,0,0,0,0
2020,333,511,1769,0,0,0,0
2020,684,479,3828,0,0,0,0
2020,422,118,142,0,0,0,0
2020,763,8913,71307,0,0,0,0
2020,741,5287,42295,130,4948,0,0
2020,553,2998,23980,0,0,0,0
2020,899,0,0,0,0,0,0
2020,900,0,0,0,0,0,0
2020,950,0,0,0,0,0,0
2020,966,0,0,0,0,0,0
2020,967,48,529,0,0,0,0
2020,982,2066,3866,0,0,0,0
2020,1080,2328,3423,0,0,0,0
2020,1074,4,7,0,0,0,0
