año,NCODI,altas_particular,estancias_particular,sesionHdia_particular,consulta_particular,cma_particular,urge_particular,hospDom_particular,altas_AsegPriv,estancias_AsegPriv,sesionHdia_AsegPriv,consulta_AsegPriv,cma_AsegPriv,urge_AsegPriv,hospDom_AsegPriv,altas_sns,estancias_sns,sesionHdia_sns,consulta_sns,cma_sns,urge_sns,hospDom_sns,altas_MutuaFun,estancias_MutuaFun,sesionHdia_MutuaFun,consulta_MutuaFun,cma_MutuaFun,urge_MutuaFun,hospDom_MutuaFun,altas_otrEntiPublica,estancias_otrEntiPublica,sesionHdia_otrEntiPublica,consulta_otrEntiPublica,cma_otrEntiPublica,urge_otrEntiPublica,hospDom_otrEntiPublica,altas_MATEPSS,estancias_MATEPSS,sesionHdia_MATEPSS,consulta_MATEPSS,cma_MATEPSS,urge_MATEPSS,hospDom_MATEPSS,altas_convIntern,estancias_conveInter,sesionHdia_conveInter,consulta_conveInter,cma_conveInter,urge_conveInter,hospDom_conveInter,altas_AccTrafic,estancias_AccTrafic,sesionHdia_AccTrafic,consulta_AccTrafic,cma_AccTrafic,urge_AccTrafic,hospDom_AccTrafic,otroRegimen,altas_otroRegim,estancias_otroRegim,sesionHdia_otroRegim,consulta_otroRegim,cma_otroRegim,urge_otroRegim,hospDom_otroRegim,total_altas,total_estancias,total_sesionHdia,total_consulta,total_cma,total_urgencias,total_hospDom
2020,423,123,410,5,4520,12,265,0,1137,2939,0,16764,225,5472,0,217,2350,77,2744,0,16,0,291,683,118,6689,39,859,0,0,0,0,0,0,0,0,38,128,7,612,0,272,0,15,55,0,38,0,64,0,1,2,0,127,0,3,0,"Otros",0,0,0,0,0,0,0,1822,6567,207,31494,276,6951,0
2020,351,33,255,0,1880,6,1566,0,2411,7894,0,53285,673,21052,0,81,1194,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,162,0,84,0,381,0,0,0,0,0,0,0,0,64,177,0,638,3,488,0,"Otros",0,0,0,0,0,0,0,2679,9682,0,56121,682,23487,0
2020,810,84,168,0,3189,14,319,0,875,1588,0,28094,288,6758,0,34,1227,0,29,0,7,0,158,329,0,8262,49,1374,0,0,0,0,0,0,0,0,77,207,0,391,2,372,0,17,64,0,46,0,68,0,0,0,0,123,0,7,0,"Otros",0,0,0,0,0,0,0,1245,3583,0,40134,353,8905,0
2020,830,58,372,0,1,0,39,0,0,0,0,79,1,243,0,9996,53562,9877,153975,2956,53548,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,52,0,26,0,354,0,7,57,0,0,0,0,0,47,207,0,0,0,0,0,"Otros",0,0,0,60,3,562,0,10120,54250,9877,154141,2960,54746,338
2020,892,31,59,0,10,0,76,0,14,34,0,2,0,161,0,14826,91642,29437,284486,3497,75997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,96,0,149,0,125,561,0,4,0,1057,0,18,156,0,15,0,337,0,"Otros",0,0,0,0,0,0,0,15018,92462,29437,284613,3497,77777,0
2020,921,110,1321,135,4184,100,635,0,5800,31318,1748,207891,954,53906,0,7,141,0,144,0,0,0,1955,13094,293,40637,211,9749,0,0,0,0,0,0,0,0,47,499,12,902,12,758,0,268,1374,27,165,5,810,0,35,421,0,2066,7,683,0,"Otros",0,0,0,0,0,0,0,8222,48168,2215,255989,1289,66541,0
2020,991,4,15,0,4,0,260,0,0,0,0,0,0,6,0,355,1204,362,9092,0,9053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,164,0,4,9,0,6,0,482,0,5,8,0,0,0,250,0,"Otros",0,0,0,0,0,0,0,368,1236,362,9108,0,10215,0
2020,992,31,184,0,0,0,337,0,6,36,0,0,0,85,0,7016,41710,8306,143825,1819,49654,239,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,30,0,0,0,312,0,25,149,0,0,0,323,0,29,172,0,0,0,605,0,"Otros",5,29,0,0,0,157,0,7117,42310,8306,143825,1819,51489,239
2020,993,8,60,0,15,0,83,0,15,129,0,32,0,22,0,5431,27276,20403,117343,2360,20151,0,2,4,0,119,1,23,0,0,0,0,0,0,0,0,31,122,0,125,0,251,0,67,330,0,345,4,353,0,30,174,0,430,0,163,0,"Otros",0,0,0,0,0,0,0,5584,28095,20403,118409,2365,21046,0
2020,1070,121,973,54,1683,4,442,0,153,1517,33,409,3,161,1,25562,191377,19334,499071,3571,112188,711,0,0,0,0,0,0,0,65,621,7,1003,1,181,0,24,200,0,317,1,430,0,281,2595,25,451,0,1094,5,86,1525,0,247,3,606,0,"Otros",0,0,0,0,0,0,0,26292,198808,19453,503181,3583,115102,717
2020,1095,127,408,0,6221,60,3745,0,1095,4915,0,35720,909,16659,0,159,4220,0,131,76,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,248,0,284,0,146,752,0,69,2,249,0,36,170,0,606,5,328,0,"Otros",0,0,0,0,0,0,0,1565,10472,0,42995,1052,21396,0
2020,1094,46,105,0,221,30,118,0,599,614,0,10432,418,5588,0,36,5991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,6,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,682,6711,0,10655,448,5712,0
2020,1124,129,129,0,75,15,0,0,139,139,0,173,21,0,0,0,0,0,342,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,13,13,0,45,24,0,0,9,9,0,9,0,0,0,3,3,0,87,63,0,0,"Otros",0,0,0,0,0,0,0,293,293,0,802,123,0,0
2020,473,3,4,1,11,0,71,0,31,255,9,152,1,43,0,4573,16910,2704,64657,3686,29712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,"Otros",0,0,0,0,0,0,0,4607,17169,2714,64830,3687,29856,0
2020,663,77,1284,2,145,1,391,0,1,267,43,671,1,368,0,21236,146446,30263,196676,3281,70210,1947,14,176,0,34,0,55,0,177,1650,59,694,0,1263,0,11,44,0,196,0,298,0,79,485,11,117,0,1117,0,58,247,1,88,0,551,0,"Otros",0,0,0,0,0,0,0,21653,150599,30379,198621,3283,74253,1947
2020,552,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3139,25479,4716,46792,6041,2668,0,0,0,0,0,0,0,0,25,277,8,231,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,62,373,0,1220,7,0,0,"Otros",0,0,0,0,0,0,0,3226,26129,4724,48259,6048,2668,0
2020,772,83,368,226,701,1,2482,2,330,1852,1070,3081,59,487,4,27973,195305,101698,494283,2587,74053,2456,0,0,0,0,0,0,0,1,1,0,0,0,0,0,46,397,7,86,2,492,0,0,0,0,0,0,0,0,129,1378,5,369,4,921,1,"Otros",0,0,0,0,0,0,0,28562,199301,103006,498520,2653,78435,2463
2020,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,3903,0,21716,435,4021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,1801,6035,0,21716,435,4021,0
2020,398,17,56,0,527,0,59,0,0,0,0,0,0,0,0,277,3044,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804,10704,0,16522,0,6995,0,0,0,0,0,0,0,0,349,2998,0,4109,0,814,0,"Otros",0,0,0,0,0,0,0,2447,16802,0,21158,0,9145,0
2020,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,6339,0,7010,177,2941,0,0,0,0,0,0,0,0,56,334,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,1125,6673,0,7010,177,2941,0
2020,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,2519,0,6014,190,0,0,0,0,0,0,0,0,0,51,249,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,569,2768,0,6014,190,0,0
2020,235,0,0,0,8,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,3879,0,17381,392,2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,1243,3879,0,17389,392,2283,0
2020,616,0,0,0,2,0,93,0,2,28,0,1,0,18,0,2586,16345,8563,102635,3538,38444,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,6,0,202,0,0,0,0,0,0,0,0,0,0,0,1320,4,398,0,"Otros",0,0,0,0,0,0,0,2590,16376,8563,103964,3542,39155,1152
2020,267,989,1613,0,8540,108,664,0,11995,19908,475,74576,1686,21630,0,673,6283,0,1761,0,0,0,618,3651,0,8278,144,1752,0,0,0,0,0,0,0,0,43,138,0,370,7,28,0,0,0,0,0,0,0,0,132,1104,0,50,2,25,0,"Otros",0,0,0,0,0,0,0,14450,32697,475,93575,1947,24099,0
2020,565,59,74,0,4866,54,0,0,0,0,0,0,0,0,0,4475,34766,7548,92995,4035,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,4534,34840,7548,97966,4089,0,0
2020,220,348,967,14,78,79,179,0,5766,12975,654,44883,1670,16192,0,260,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,"Otros",0,0,0,0,0,0,0,6374,16880,668,44961,1749,16385,0
2020,278,501,1307,0,0,0,0,0,7712,28964,0,0,1503,16270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,8213,30271,0,0,1503,16270,0
2020,107,3,425,0,0,0,0,0,25,1256,0,0,0,0,0,608,36913,7077,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,636,38594,7077,0,0,0,925
2020,711,19,156,98,908,1,321,0,193,2023,388,1143,39,264,0,21786,174910,76179,436627,8782,114303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,72,0,40,0,365,0,0,0,0,0,0,0,0,119,1257,0,4369,22,747,0,"Otros",0,0,0,0,0,0,0,22129,178418,76665,443087,8844,116000,0
2020,204,1,10,0,13,0,0,0,0,0,0,347,0,0,0,1268,37451,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,194,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,1272,37655,1064,360,0,0,0
2020,348,62,2991,17,1297,0,0,0,5,171,78,26,0,0,0,549,25683,8823,7609,47,0,0,0,0,0,0,0,0,0,13,740,113,20,0,0,0,23,1102,90,262,2,0,0,0,0,0,0,0,0,0,47,3946,741,286,0,0,0,"Otros",7,351,1137,271,0,0,0,706,34984,10999,9771,49,0,0
2020,766,295,1406,4,3890,131,165,0,3,13,18,23,0,1,0,4095,19317,2728,69950,1482,16055,0,0,0,0,0,0,0,0,10,47,5,66,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,4403,20783,2755,73929,1618,16248,0
2020,761,138,18303,93,0,0,0,0,344,7394,759,0,0,0,0,2178,88703,4034,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1018,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,2668,115418,4886,0,0,0,314
2020,728,348,648,1596,5511,99,119,0,3977,24498,3699,163226,3480,15768,0,9949,60704,3810,140739,7139,24879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,84,0,0,0,0,0,0,0,0,49,833,0,3059,1,532,0,"Otros",0,0,0,0,0,0,0,14323,86683,9105,312542,10719,41382,0
2020,280,623,992,108,5364,181,205,0,7697,31850,3044,77604,4086,35949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129,0,0,0,"Otros",0,0,0,0,0,0,0,8320,32842,3152,86097,4267,36154,0
2020,222,847,1056,21,2489,241,99,0,2538,4766,418,28618,4057,2446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,3385,5822,439,31107,4298,2545,0
