año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2020,113,160,0,0,0,0,150,0,0,0,0,0,0,0,27,0,0,0,0
2020,619,65,0,0,6,1,65,0,0,6,1,3,0,4,0,0,4,0,0
2020,163,20,0,0,4,0,20,0,0,4,0,1,0,0,0,0,0,9,4
2020,131,82,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2020,375,63,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0
2020,1090,791,23,3,23,2,776,21,3,22,2,10,6,86,4,0,60,0,2
2020,764,697,13,2,16,1,620,13,2,16,1,17,0,16,56,8,32,0,0
2020,14,40,5,2,3,0,40,2,2,3,0,2,0,1,0,0,3,1,3
2020,657,135,3,2,4,0,86,1,1,3,0,3,0,8,0,0,8,0,0
2020,362,65,2,1,3,1,65,0,0,3,1,7,0,0,0,0,8,0,0
2020,989,93,2,1,4,0,54,1,1,4,0,5,0,6,0,0,0,0,0
2020,990,114,1,1,4,0,102,1,1,4,0,2,0,13,0,0,0,8,0
2020,680,776,24,3,28,2,745,24,3,28,2,12,3,48,0,0,3,0,0
2020,411,106,4,1,9,2,106,4,1,9,2,2,0,6,0,0,0,0,0
2020,241,96,3,2,7,1,96,3,2,7,1,2,0,6,0,0,2,0,0
2020,558,287,4,3,9,0,236,4,3,9,0,10,0,30,0,0,5,12,2
2020,248,163,0,0,4,1,163,0,0,4,1,2,2,10,0,0,0,0,0
2020,224,30,1,1,2,0,23,0,0,2,0,1,1,0,0,0,2,2,1
2020,591,446,15,2,18,1,385,15,2,18,1,10,0,63,2,0,0,0,4
2020,586,542,14,2,12,0,508,14,2,12,0,4,4,34,12,0,0,0,0
2020,453,172,0,0,0,0,99,0,0,0,0,2,0,1,0,0,0,0,0
2020,145,96,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2020,511,280,11,2,9,0,283,11,2,9,0,6,3,10,0,0,0,14,0
2020,530,336,8,2,9,0,318,8,2,9,0,6,3,25,0,0,0,2,2
2020,6,66,3,1,8,0,55,3,1,8,0,1,0,0,0,0,5,0,0
2020,161,240,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0
2020,623,407,14,2,10,2,404,14,2,10,2,8,2,18,0,0,0,0,0
2020,875,127,0,0,6,1,127,0,0,6,1,2,0,6,0,0,0,0,0
2020,946,140,3,1,4,1,140,3,1,4,1,3,0,0,0,0,0,0,0
2020,1023,277,6,2,11,1,229,6,2,11,1,3,0,38,0,0,29,0,0
2020,1054,267,12,2,15,1,211,6,2,13,1,6,1,40,0,0,0,24,2
2020,1057,107,0,0,0,0,83,0,0,0,0,4,0,0,0,0,0,0,0
2020,1031,40,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0
2020,1032,230,8,8,12,1,192,6,8,12,1,2,0,25,0,0,39,0,0
2020,1064,100,2,2,9,1,100,2,2,9,1,1,0,0,0,0,0,0,0
2020,226,82,2,1,5,1,82,2,1,5,1,2,1,0,0,0,5,0,5
2020,687,202,6,6,7,0,171,6,6,7,0,5,0,24,20,0,0,12,1
2020,745,783,40,13,16,2,783,40,10,17,2,11,4,98,90,0,0,25,0
2020,109,92,3,2,11,1,58,3,2,6,1,4,0,4,0,0,1,0,1
2020,808,291,11,8,9,0,291,8,8,9,0,5,0,20,22,0,0,17,0
2020,971,22,0,0,6,0,22,0,0,6,0,2,0,2,0,0,7,17,0
2020,128,37,1,1,3,0,37,0,0,3,0,1,0,3,0,0,2,2,1
2020,919,436,8,2,9,0,425,8,2,9,0,5,3,24,28,0,0,0,0
2020,1150,80,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2020,725,938,28,3,32,2,808,28,3,29,2,16,0,152,0,0,0,16,2
2020,3,113,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0
2020,306,281,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0
2020,15,29,0,0,3,0,20,0,0,2,0,1,0,0,0,0,2,1,0
2020,264,77,3,1,3,0,77,3,1,3,0,2,0,10,0,0,0,0,0
2020,867,9,0,0,2,0,9,0,0,2,0,1,0,0,0,0,0,0,0
2020,910,229,2,1,11,0,220,2,1,10,0,8,0,22,0,0,1,10,1
2020,1053,320,7,2,6,0,286,7,2,6,0,6,1,16,0,0,8,6,1
2020,1055,381,8,3,15,1,400,8,3,14,1,17,0,51,0,0,0,35,5
2020,1081,100,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
2020,1115,21,0,0,2,0,11,0,0,2,0,1,0,0,0,0,0,0,0
2020,529,83,0,0,0,0,77,0,0,0,0,1,0,0,0,27,0,0,0
2020,345,168,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0
2020,515,40,0,0,3,0,40,0,0,3,0,2,0,0,0,0,0,0,0
