"año";"NCODI";"pacienteTot_hospDom";"visitaTot_hospDom"
2010;781,00;794;9360
2010;779,00;368;4267
2010;113,00;0;0
2010;619,00;0;0
2010;163,00;0;0
2010;131,00;0;0
2010;375,00;0;0
2010;764,00;0;0
2010;14,00;0;0
2010;657,00;0;0
2010;362,00;0;0
2010;989,00;0;0
2010;990,00;0;0
2010;680,00;3946;29177
2010;411,00;0;0
2010;241,00;0;0
2010;558,00;1097;14554
2010;167,00;0;0
2010;224,00;0;0
2010;591,00;559;13239
2010;586,00;3153;13503
2010;453,00;0;0
2010;145,00;0;0
2010;511,00;2205;8071
2010;530,00;885;7176
2010;6,00;0;0
2010;161,00;0;0
2010;623,00;668;1566
2010;489,00;0;0
2010;349,00;0;0
2010;875,00;0;0
2010;908,00;0;0
2010;940,00;0;0
2010;946,00;0;0
2010;1023,00;439;783
2010;1054,00;1286;1976
2010;1057,00;0;0
2010;1031,00;0;0
2010;1032,00;217;681
2010;226,00;0;0
2010;687,00;0;0
2010;745,00;0;0
2010;109,00;0;0
2010;808,00;0;0
2010;971,00;0;0
2010;128,00;0;0
2010;919,00;0;0
2010;725,00;0;0
2010;3,00;0;0
2010;386,00;0;0
2010;306,00;0;0
2010;15,00;0;0
2010;264,00;0;0
2010;867,00;0;0
2010;910,00;0;0
2010;1053,00;0;0
2010;1055,00;0;0
2010;732,00;488;4984
2010;529,00;0;0
2010;345,00;0;0
2010;515,00;0;0
2010;174,00;0;0
2010;523,00;0;0
2010;697,00;0;0
2010;239,00;0;0
2010;287,00;0;0
2010;377,00;0;0
2010;692,00;377;3863
2010;335,00;0;0
2010;435,00;0;0
2010;423,00;0;0
2010;351,00;0;0
2010;810,00;0;0
2010;830,00;0;0
2010;892,00;0;0
2010;921,00;0;0
2010;991,00;0;0
2010;992,00;0;0
2010;993,00;0;0
2010;473,00;0;0
2010;663,00;64;71
2010;552,00;0;0
2010;772,00;364;4680
2010;568,00;0;0
2010;398,00;0;0
2010;394,00;0;0
2010;614,00;0;0
2010;235,00;0;0
2010;616,00;243;3284
2010;267,00;0;0
2010;565,00;0;0
2010;220,00;0;0
2010;278,00;0;0
2010;107,00;341;4586
2010;141,00;0;0
2010;711,00;0;0
2010;569,00;0;0
2010;204,00;0;0
2010;579,00;0;0
2010;348,00;0;0
2010;766,00;0;0
2010;761,00;0;0
2010;728,00;0;0
2010;280,00;0;0
2010;222,00;0;0
2010;276,00;0;0
2010;11,00;0;0
2010;302,00;0;0
2010;682,00;0;0
2010;279,00;0;0
2010;282,00;0;0
2010;281,00;0;0
2010;183,00;0;0
2010;610,00;0;0
2010;116,00;0;0
2010;115,00;0;0
2010;114,00;56;2003
2010;126,00;0;0
2010;156,00;0;0
2010;119,00;0;0
2010;770,00;849;6776
2010;583,00;508;4146
2010;136,00;0;0
2010;469,00;87;1506
2010;642,00;333;573
2010;674,00;203;537
2010;193,00;0;0
2010;526,00;308;3252
2010;698,00;637;8176
2010;630,00;0;0
2010;124,00;0;0
2010;364,00;0;0
2010;604,00;437;5777
2010;123,00;0;0
2010;310,00;255;4051
2010;571,00;0;0
2010;296,00;0;0
2010;566,00;270;4128
2010;784,00;944;10950
2010;102,00;0;0
2010;379,00;0;0
2010;639,00;366;2528
2010;457,00;149;149
2010;609,00;0;0
2010;101,00;0;0
2010;454,00;0;0
2010;318,00;0;0
2010;600,00;212;997
2010;545,00;0;0
2010;100,00;0;0
2010;702,00;301;2769
2010;778,00;0;0
2010;341,00;0;0
2010;99,00;1017;8742
2010;767,00;392;2697
2010;359,00;0;0
2010;98,00;0;0
2010;132,00;0;0
2010;97,00;0;0
2010;103,00;0;0
2010;110,00;0;0
2010;94,00;0;0
2010;91,00;0;0
2010;664,00;0;0
2010;918,00;867;7161
2010;92,00;0;0
2010;93,00;0;0
2010;95,00;0;0
2010;96,00;0;0
2010;301,00;0;0
2010;492,00;0;0
2010;811,00;0;0
2010;812,00;0;0
2010;832,00;0;0
2010;841,00;0;0
2010;856,00;0;0
2010;859,00;0;0
2010;861,00;0;0
2010;880,00;221;1464
2010;883,00;0;0
2010;884,00;0;0
2010;877,00;0;0
2010;911,00;0;0
2010;913,00;0;0
2010;922,00;0;0
2010;923,00;0;0
2010;924,00;0;0
2010;947,00;0;0
2010;951,00;0;0
2010;972,00;0;0
2010;973,00;0;0
2010;974,00;0;0
2010;975,00;0;0
2010;960,00;0;0
2010;1027,00;0;0
2010;1028,00;0;0
2010;976,00;0;0
2010;977,00;0;0
2010;1020,00;0;0
2010;994,00;0;0
2010;995,00;0;0
2010;1059,00;0;0
2010;1060,00;0;0
2010;1005,00;0;0
2010;1061,00;0;0
2010;1062,00;0;0
2010;1006,00;0;0
2010;1088,00;0;0
2010;1076,00;0;0
2010;1078,00;0;0
2010;1063,00;0;0
2010;1033,00;132;143
2010;1034,00;0;0
2010;1036,00;0;0
2010;1039,00;0;0
2010;207,00;0;0
2010;431,00;0;0
2010;387,00;0;0
2010;179,00;0;0
2010;606,00;0;0
2010;925,00;535;16461
2010;541,00;0;0
2010;797,00;0;0
2010;627,00;0;0
2010;173,00;0;0
2010;636,00;0;0
2010;205,00;0;0
2010;814,00;0;0
2010;881,00;0;0
2010;771,00;195;899
2010;533,00;0;0
2010;447,00;0;0
2010;815,00;0;0
2010;801,00;0;0
2010;800,00;0;0
2010;389,00;0;0
2010;759,00;0;0
2010;695,00;0;0
