"año";"NCODI";"totHemodina_Paciente";"totPaciente_radioInterv";"totLitofrag_Paciente";"totLitofrag_Sesion";"totAceleLineal_Paciente";"totAceleLineal_Sesion";"totBomCobal_Paciente";"totBomCobal_Sesion";"totOtraRadio_Paciente";"totOtraRadio_Sesion";"totFisiot_Paciente";"totFisiot_Sesion";"totLogop_Paciente";"totLogop_Sesion";"totTerapOcupa_Paciente";"totTerapOcupa_Sesion";"totHemodial_Paciente";"totHemodial_Sesion";"totHemodialDom_Paciente";"totHemodialDom_Sesion";"totDialPerito_Paciente";"totDialPerito_Sesion"
2010;781,00;1369;153;0;0;0;0;0;0;0;0;0;40211;0;0;0;9294;101;8596;0;0;158;969
2010;779,00;0;0;0;0;0;0;0;0;0;0;5386;159293;0;0;0;0;52;7290;0;0;29;5870
2010;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195;0;0;0;0;0;0;0
2010;619,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;163,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;131,00;0;0;0;0;0;0;0;0;0;0;55;352;0;0;43;320;0;0;0;0;0;0
2010;375,00;0;0;0;0;0;0;0;0;0;0;1040;13509;0;0;0;0;0;0;0;0;0;0
2010;764,00;1475;1986;279;327;789;19209;0;0;43;196;17723;134010;2884;7256;2369;27888;92;14141;0;0;42;14775
2010;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;657,00;0;0;0;0;0;0;0;0;0;0;4584;36161;0;0;0;0;0;0;0;0;0;0
2010;362,00;390;109;0;0;0;0;0;0;0;0;1215;12890;0;0;0;0;0;0;0;0;0;0
2010;989,00;0;0;0;0;0;0;0;0;0;0;1562;20619;583;2197;267;2272;0;0;0;0;0;0
2010;990,00;0;0;0;0;0;0;0;0;0;0;1226;23560;104;1838;126;1970;0;0;0;0;0;0
2010;680,00;2554;1188;255;327;0;0;0;0;0;0;7153;237940;0;0;0;0;735;13273;0;0;36;4594
2010;411,00;7061;239;0;0;0;0;0;0;0;0;1202;13959;0;0;0;0;138;20674;0;0;0;0
2010;241,00;279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;40536;0;0;0;0
2010;558,00;0;788;0;0;285;285;0;0;0;0;2259;203342;0;0;0;0;120;14255;11;2204;14;5111
2010;167,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;224,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;591,00;680;0;193;291;0;0;0;0;0;0;17498;447372;0;0;0;0;218;9613;0;0;0;0
2010;586,00;0;747;0;0;0;0;0;0;0;0;11456;355585;0;0;0;0;1016;11446;0;0;0;0
2010;453,00;0;0;0;0;0;0;0;0;0;0;1029;95965;0;0;0;0;0;0;0;0;0;0
2010;145,00;0;0;0;0;0;0;0;0;0;0;21;3690;0;0;0;0;0;0;0;0;0;0
2010;511,00;0;0;0;0;0;0;0;0;0;0;0;116084;0;0;0;0;377;4520;0;0;0;0
2010;530,00;0;0;0;0;0;0;0;0;0;0;6743;264354;0;0;0;0;0;0;0;0;0;0
2010;6,00;0;2;62;62;0;0;0;0;0;0;1394;12594;54;1052;0;0;0;0;0;0;0;0
2010;161,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;1498;0;0;0;0;0;0
