año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2017,113,175,0,0,0,0,168,0,0,0,0,0,0,0,1,0,0,0,0
2017,619,65,1,2,6,1,65,1,2,6,1,3,0,4,0,0,4,0,1
2017,163,20,0,0,4,0,20,0,0,4,0,5,0,0,0,0,0,9,4
2017,131,82,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2017,375,63,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0
2017,1090,791,23,3,23,2,724,21,3,22,2,10,6,86,4,0,60,0,2
2017,764,736,13,2,16,1,636,13,2,16,1,17,0,16,56,8,32,0,0
2017,14,42,3,2,3,0,40,3,2,3,0,1,0,5,0,0,3,0,3
2017,657,135,3,2,4,0,94,2,1,3,0,3,0,8,0,0,1,0,0
2017,362,65,2,1,3,1,65,2,1,3,1,7,0,0,0,0,8,0,0
2017,989,93,2,1,4,0,54,1,1,4,0,5,0,6,0,0,0,0,0
2017,990,114,1,1,4,0,89,1,1,4,0,2,0,13,0,0,0,8,0
2017,680,794,24,3,28,2,714,24,3,28,2,12,3,36,0,0,3,0,0
2017,411,106,4,1,9,2,106,4,1,9,2,2,0,6,0,0,0,0,0
2017,241,96,3,2,7,1,96,3,2,7,1,2,0,6,0,0,2,0,0
2017,558,287,4,3,7,0,227,4,3,7,0,9,1,20,0,0,1,11,1
2017,167,26,2,1,2,0,16,1,0,2,0,1,0,0,0,0,0,0,0
2017,248,163,0,0,4,1,163,0,0,4,1,2,0,10,0,0,0,0,0
2017,224,23,1,1,2,0,23,1,1,2,0,2,0,0,0,0,0,0,1
2017,591,412,15,2,15,1,390,15,2,15,1,10,0,62,2,0,0,0,4
2017,586,377,12,2,12,0,371,12,2,12,0,4,4,29,12,0,0,16,0
2017,453,179,0,0,0,0,113,0,0,0,0,2,0,1,0,0,0,0,0
2017,145,96,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
2017,511,270,11,2,9,0,264,11,2,9,0,6,3,10,0,0,0,14,0
2017,530,336,8,2,9,0,322,8,2,9,0,6,3,25,0,0,0,2,2
2017,6,66,3,1,8,0,55,3,1,8,0,1,0,0,0,0,10,0,0
2017,161,431,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0
2017,623,390,14,2,10,2,364,14,2,10,2,8,2,18,0,0,0,0,0
2017,349,19,0,0,1,0,19,0,0,1,0,1,0,0,0,0,0,0,0
2017,875,96,0,0,7,1,96,0,0,7,1,2,0,6,0,0,2,0,0
2017,946,140,3,1,4,1,140,3,1,4,1,3,0,0,0,0,0,0,0
2017,1023,277,6,5,11,1,238,6,5,11,1,3,0,38,0,0,29,0,0
2017,1054,267,12,2,15,1,211,6,2,13,1,6,0,16,0,0,0,24,2
2017,1057,107,0,0,0,0,83,0,0,0,0,4,0,0,0,0,0,0,0
2017,1031,40,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
2017,1032,230,8,8,12,1,195,8,8,12,1,4,0,25,0,0,31,0,0
2017,1064,100,2,2,9,1,100,2,2,9,1,1,0,0,0,0,0,0,0
2017,226,82,2,1,5,1,82,2,1,5,1,2,0,0,0,0,5,0,5
2017,687,202,6,5,7,0,164,6,5,7,0,4,0,12,20,0,0,12,1
2017,745,713,27,3,16,2,704,27,3,16,2,7,4,69,52,0,0,29,2
